No,Nama Prodi,Nama PT,Jenjang
13216,Ekonomi Pembangunan,Universitas Dr Soetomo,S1
13217,Sastra Jepang,Universitas Dr Soetomo,S1
13218,Kesekretariatan,Universitas Dr Soetomo,D-III
13219,Pendidikan Matematika,Universitas Dr Soetomo,S1
13220,Teknik Sipil,Universitas Dr Soetomo,S1
13222,Ilmu Hukum,Universitas Dr Soetomo,S1
13223,Teknik Informatika,Universitas Dr. Soetomo,S1
13224,Ilmu Komunikasi,Universitas Dr. Soetomo,S1
13226,Ilmu Administrasi Negara,Universitas Dr. Soetomo,S1
13228,Teknologi Pangan,Universitas Dr. Soetomo,S1
13231,Sastra Inggris,Universitas Dr. Soetomo,S1
13232,Budidaya Perairan,Universitas Dr. Soetomo,S1
13233,Pendidikan Bahasa Dan Sastra Indonesia,Universitas Dr. Soetomo,S1
13234,Manajemen,Universitas Dr. Soetomo,S1
13236,Akuntansi,Universitas Dr. Soetomo,S1
13237,Agrobisnis Perikanan,Universitas Dr. Soetomo,S1
13239,Pemanfaatan Sumberdaya Perikanan,Universitas Dr. Soetomo,S1
13240,Agroteknologi,Universitas Dumoga Kotamobagu,S1
13241,Manajemen,Universitas Dumoga Kotamobagu,S1
13242,Manajemen,Universitas Dumoga Kotamobagu,S1
13243,Kehutanan,Universitas Dumoga Kotamobagu,S1
13244,KEPERAWATAN,UNIVERSITAS DUTA BANGSA SURAKARTA,D-III
13245,KEPERAWATAN,UNIVERSITAS DUTA BANGSA SURAKARTA,S1
13246,Teknik Informatika,Universitas Duta Bangsa Surakarta,S1
13247,Manajemen Informatika,Universitas Duta Bangsa Surakarta,D-III
13248,Teknik Komputer,Universitas Duta Bangsa Surakarta,D-III
13251,Sistem Informasi,Universitas Duta Bangsa Surakarta,S1
13252,Teknik Industri,Universitas Duta Bangsa Surakarta,S1
13253,Hukum,Universitas Duta Bangsa Surakarta,S1
13254,Akuntansi,Universitas Duta Bangsa Surakarta,S1
13255,Agribisnis,Universitas Duta Bangsa Surakarta,S1
13256,Agroteknologi,Universitas Dwijendra,S1
13257,Arsitektur,Universitas Dwijendra,S1
13259,Pendidikan  Bahasa Inggris,Universitas Dwijendra,S1
13260,Pendidikan Guru Sekolah Dasar,Universitas Dwijendra,S1
13261,Ilmu Komunikasi,Universitas Dwijendra,S1
13262,Pendidikan Bahasa Indonesia Dan Daerah,Universitas Dwijendra,S1
13263,Agribisnis,Universitas Dwijendra,S1
13264,Pendidikan Pancasila Dan Kewarganegaraan,Universitas Dwijendra,S1
13265,Ilmu Hukum,Universitas Dwijendra,S1
13266,Teknik Informatika,Universitas Efarina,S1
13269,Pendidikan Guru Sekolah Dasar,Universitas Efarina,S1
13270,Manajemen,Universitas Efarina,S1
13273,Pendidikan Matematika,Universitas Efarina,S1
13276,Pendidikan Bahasa Dan Sastra Indonesia,Universitas Efarina,S1
13277,Teknik Elektro,Universitas Efarina,S1
13278,Teknik Lingkungan,Universitas Efarina,S1
13279,Sastra Inggris,Universitas Ekasakti,S1
13280,Arsitektur,Universitas Ekasakti,S1
13281,Teknik Elektro,Universitas Ekasakti,S1
13282,Manajemen Informatika,Universitas Ekasakti,D-III
13283,Teknologi Hasil Pertanian,Universitas Ekasakti,S1
13284,Teknik Mesin,Universitas Ekasakti,S1
13285,Ilmu Pemerintahan,Universitas Ekasakti,S1
13286,Agribisnis,Universitas Ekasakti,S1
13287,Teknik Industri,Universitas Ekasakti,S1
13288,Teknik Sipil,Universitas Ekasakti,S1
13289,Akuntansi,Universitas Ekasakti,S1
13290,Ilmu Hukum,Universitas Ekasakti,S1
13291,Pendidikan Matematika,Universitas Ekasakti,S1
13292,Agroteknologi,Universitas Ekasakti,S1
13293,Ilmu Komunikasi,Universitas Ekasakti,S1
13295,Ilmu Administrasi Negara,Universitas Ekasakti,S1
13296,Manajemen,Universitas Ekasakti,S1
13297,Pendidikan Bahasa Inggris,Universitas Ekasakti,S1
13298,Pendidikan Ekonomi,Universitas Ekasakti,S1
