No,Nama Prodi,Nama PT,Jenjang
1404,Perbankan Syariah,Institut Agama Islam Al-Hikmah Tuban,S1
1405,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Al-Hikmah Tuban,S1
1406,Pendidikan Agama Islam,Institut Agama Islam Al-Khairat Pamekasan Jawa Timur,S1
1407,Pendidikan Bahasa Arab,Institut Agama Islam Al-Khairat Pamekasan Jawa Timur,S1
1408,Ekonomi Syari'ah,Institut Agama Islam Al-Khairat Pamekasan Jawa Timur,S1
1409,Perbankan Syari'ah,Institut Agama Islam Al-Khairat Pamekasan Jawa Timur,S1
1410,Ilmu Al-Qur'an Dan Tafsir,Institut Agama Islam Al-Khairat Pamekasan Jawa Timur,S1
1411,Manajemen Pendidikan Islam,Institut Agama Islam Al-Khairat Pamekasan Jawa Timur,S1
1413,Pendidikan Agama Islam,Institut Agama Islam Almuslim Aceh,S1
1414,Ekonomi Syariah,Institut Agama Islam Almuslim Aceh,S1
1415,Pendidikan Bahasa Arab,Institut Agama Islam Almuslim Aceh,S1
1416,Perbankan Syariah,Institut Agama Islam Almuslim Aceh,S1
1417,Ekonomi Syariah,Institut Agama Islam Al-Qodiri Jember,S1
1418,Hukum Ekonomi Syari`ah (Mu`amalah),Institut Agama Islam Al-Qolam,S1
1419,Ekonomi Syariah,Institut Agama Islam Al-Qur'an Al-Ittifaqiah Indralaya,S1
1420,Pendidikan Islam Anak Usia Dini,Institut Agama Islam Al-Qur'an Al-Ittifaqiah Indralaya,S1
1421,Pendidikan Agama Islam,Institut Agama Islam Al-Qur'an Al-Ittifaqiah Indralaya,S1
1422,Pendidikan Islam Anak Usia Dini,Institut Agama Islam An Nur Lampung,S1
1423,Pendidikan Agama Islam,Institut Agama Islam An Nur Lampung,S1
1424,Ekonomi Syariah,Institut Agama Islam An Nur Lampung,S1
1426,Hukum Keluarga (Ahwal Al Syakhshiyah),Institut Agama Islam An Nur Lampung,S1
1427,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam An Nur Lampung,S1
1428,Manajemen Pendidikan Islam,Institut Agama Islam An Nur Lampung,S1
1429,Bimbingan Dan Konseling  Islam,Institut Agama Islam As Siddiq Kie Raha Maluku Utara,S1
1430,Pendidikan Islam Anak Usia Dini,Institut Agama Islam As Siddiq Kie Raha Maluku Utara,S1
1431,Ekonomi Syariah,Institut Agama Islam As Siddiq Kie Raha Maluku Utara,S1
1432,Perbankan Syariah,Institut Agama Islam As Siddiq Kie Raha Maluku Utara,S1
1434,Tadris Bahasa Inggris,Institut Agama Islam As'adiyah Sengkang,S1
1435,Hukum Tatanegara,Institut Agama Islam Az-Zaytun Indonesia,S1
1436,Pendidikan Bahasa Arab,Institut Agama Islam Az-Zaytun Indonesia,S1
1437,Hukum Ekonomi Syariah,Institut Agama Islam Az-Zaytun Indonesia,S1
1438,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Bakti Negara Tegal,S1
1439,Ilmu Al-Qur'an Dan Tafsir,Institut Agama Islam Bakti Negara Tegal,S1
1440,Hukum Keluarga Islam (Ahwal Al Syakhshiyah),Institut Agama Islam Bakti Negara Tegal,S1
1441,Pendidikan Agama Islam,Institut Agama Islam Bakti Negara Tegal,S1
1442,Bimbingan Dan Konseling Islam,Institut Agama Islam Bakti Negara Tegal,S1
1443,Pendidikan Bahasa Arab,Institut Agama Islam Bani Fattah Jombang,S1
1444,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Bani Fattah Jombang,S1
1445,Manajemen Pendidikan Islam,Institut Agama Islam Bani Fattah Jombang,S1
1446,Ilmu Al Qur`an Dan Tafsir,Institut Agama Islam Bani Fattah Jombang,S1
1447,Ekonomi Syari`ah,Institut Agama Islam Bani Fattah Jombang,S1
1448,Pendidikan Agama Islam,Institut Agama Islam Banten,S1
1449,Ahwal Al Syakhshiyah,Institut Agama Islam Banten,S1
1451,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Bunga Bangsa Cirebon,S1
1452,Pendidikan Islam Anak Usia Dini,Institut Agama Islam Bunga Bangsa Cirebon,S1
1453,Pendidikan Agama Islam,Institut Agama Islam Bunga Bangsa Cirebon,S1
1454,Perbankan Syariah,Institut Agama Islam Bunga Bangsa Cirebon,S1
1455,Komunikasi Dan Penyiaran Islam,Institut Agama Islam Bunga Bangsa Cirebon,S1
1456,Bimbingan Dan Konseling Pendidikan Islam,Institut Agama Islam Bunga Bangsa Cirebon,S1
1457,Hukum Pidana Islam (Jinayah),Institut Agama Islam Bunga Bangsa Cirebon,S1
1458,Manajemen Pendidikan Islam,Institut Agama Islam Bunga Bangsa Cirebon,S1
1459,Ekonomi Syariah,Institut Agama Islam Bunga Bangsa Cirebon,S1
1460,Ekonomi Syari`ah,Institut Agama Islam Cipasung,S1
1462,Pendidikan Bahasa Arab,Institut Agama Islam Cipasung (IAIC) Tasikmalaya,S1
1463,Hukum Pidana Islam (Jinayah),Institut Agama Islam Cipasung (IAIC) Tasikmalaya,S1
1465,Hukum Keluarga Islam (Ahwal Syakhsiyyah),Institut Agama Islam Cipasung (IAIC) Tasikmalaya,S1
1466,Pendidikan Agama Islam,Institut Agama Islam Cirebon,S1
1467,Hukum Keluarga (Ahwal Syakhshiyah),Institut Agama Islam Cirebon,S1
1468,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Cirebon,S1
1469,Ekonomi Syariah,Institut Agama Islam Cirebon,S1
1470,Komunikasi Dan Penyiaran Islam,Institut Agama Islam Daar Al-Ulum (IAIDU) Asahan,S1
1476,Ekonomi Syariah,Institut Agama Islam Dar Aswaja Rokan Hilir,S1
1477,Pendidikan Agama Islam,Institut Agama Islam Dar Aswaja Rokan Hilir,S1
1478,Bimbingan Dan Konseling Pendidikan Islam (BKPI),Institut Agama Islam Darul Da'wah Wal Irsyad Polewali Mandar,S1
1479,Pendidikan Agama Islam,Institut Agama Islam Darul Da'wah Wal Irsyad Polewali Mandar,S1
1480,Hukum Keluarga (Ahwal Al Syakhshiyah),Institut Agama Islam Darul Da'wah Wal Irsyad Polewali Mandar,S1
1481,Perbankan Syariah,Institut Agama Islam Darul Da'wah Wal Irsyad Polewali Mandar,S1
1482,Ekonomi Syariah,Institut Agama Islam Darul Da'wah Wal Irsyad Polewali Mandar,S1
1483,Pendidikan Islam Anak Usia Dini,Institut Agama Islam Darul Da'wah Wal Irsyad Polewali Mandar,S1
1484,Hukum Tatanegara (Siyasah),Institut Agama Islam Darul Da'wah Wal Irsyad Polewali Mandar,S1
1485,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Darul Da'wah Wal Irsyad Polewali Mandar,S1
1486,Komunikasi Dan Penyiaran Islam,Institut Agama Islam Darul Da'wah Wal Irsyad Polewali Mandar,S1
1487,Pendidikan Bahasa Arab,Institut Agama Islam Darul Da'wah Wal Irsyad Polewali Mandar,S1
1488,Hukum Keluarga (Ahwal Al-Syakhshiyah),Institut Agama Islam Darullughah Wadda'wah Bangil,S1
1489,Manajemen Pendidikan Islam,Institut Agama Islam Darullughah Wadda'wah Bangil,S1
1497,Pendidikan Islam Anak Usia Dini,Institut Agama Islam Darussalam (IAID) Ciamis Jawa Barat,S1
1498,Hukum Keluarga (Ahwal Syakhshiyah),Institut Agama Islam Darussalam (IAID) Ciamis Jawa Barat,S1
1499,Pendidikan Agama Islam,Institut Agama Islam Darussalam (IAID) Ciamis Jawa Barat,S1
1500,Ilmu Al-Qur`an Dan Tafsir,Institut Agama Islam Darussalam (IAID) Ciamis Jawa Barat,S1
1501,Ekonomi Syari`ah,Institut Agama Islam Darussalam (IAID) Ciamis Jawa Barat,S1
1503,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Darussalam (IAID) Ciamis Jawa Barat,S1
1504,Komunikasi Dan Penyiaran Islam,Institut Agama Islam Darussalam Blokagung Banyuwangi,S1
1505,Manajemen Pendidikan Islam,Institut Agama Islam Darussalam Blokagung Banyuwangi,S1
1506,Bimbingan Dan Konseling  Islam,Institut Agama Islam Darussalam Blokagung Banyuwangi,S1
1507,Perbankan Syariah,Institut Agama Islam Darussalam Blokagung Banyuwangi,S1
1508,Ekonomi Syari`ah,Institut Agama Islam Darussalam Blokagung Banyuwangi,S1
1509,Pendidikan Bahasa Arab,Institut Agama Islam Darussalam Blokagung Banyuwangi,S1
1510,Tadris Bahasa Indonesia,Institut Agama Islam Darussalam Blokagung Banyuwangi,S1
1511,Tadris Bahasa Inggris,Institut Agama Islam Darussalam Blokagung Banyuwangi,S1
1512,Hukum Keluarga (Ahwal Syakhshiyah),Institut Agama Islam Darussalam Martapura Kalimantan Selatan,S1
1513,Pendidikan Agama Islam,Institut Agama Islam Darussalam Martapura Kalimantan Selatan,S1
1514,Perbankan Syari'ah,Institut Agama Islam Darussalam Martapura Kalimantan Selatan,S1
1515,Pendidikan Islam Anak Usia Dini (PIAUD),Institut Agama Islam Darussalam Martapura Kalimantan Selatan,S1
1516,Ekonomi Syariah,Institut Agama Islam Darussalam Martapura Kalimantan Selatan,S1
1517,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Darussalam Martapura Kalimantan Selatan,S1
1518,Manajemen Pendidikan Islam,Institut Agama Islam Faqih Asy'ari Kediri,S1
1519,Pendidikan Agama Islam,Institut Agama Islam Faqih Asy'ari Kediri,S1
1520,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Faqih Asy'ari Kediri,S1
1521,Ilmu Al-Qur'an Dan Tafsir,Institut Agama Islam Faqih Asy'ari Kediri,S1
1522,Hukum Ekonomi Syariah,Institut Agama Islam Faqih Asy'ari Kediri,S1
1523,Hukum Keluarga Islam (Ahwal Syakhshiyyah),Institut Agama Islam Faqih Asy'ari Kediri,S1
1524,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Hamzanwadi NW Lombok Timur,S1
1525,Hukum Ekonomi Syari`ah (Mu`amalah),Institut Agama Islam Hamzanwadi NW Lombok Timur,S1
1526,Pendidikan Agama Islam,Institut Agama Islam Hamzanwadi NW Lombok Timur,S1
1527,Komunikasi Dan Penyiaran Islam,Institut Agama Islam Hamzanwadi NW Lombok Timur,S1
1528,Pendidikan Bahasa Arab,Institut Agama Islam Hamzanwadi NW Lombok Timur,S1
1529,Hukum Keluarga (Ahwal Al Syakhshiyah),Institut Agama Islam Hamzanwadi NW Lombok Timur,S1
1530,Pendidikan Islam Anak Usia Dini,Institut Agama Islam Hamzanwadi NW Pancor Lombok Timur,S1
1531,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Hamzanwadi NW Pancor Lombok Timur,S1
1532,Manajemen Dakwah,Institut Agama Islam Hamzanwadi NW Pancor Lombok Timur,S1
1533,Pendidikan Bahasa Arab,Institut Agama Islam Hamzanwadi NW Pancor Lombok Timur,S1
1534,Perbankan Syariah,Institut Agama Islam Hamzanwadi NW Pancor Lombok Timur,S1
1535,Bimbingan Konseling Islam,Institut Agama Islam Hamzanwadi NW Pancor Lombok Timur,S1
1536,Ekonomi Syari'ah,Institut Agama Islam Hamzanwadi NW Pancor Lombok Timur,S1
1537,Komunikasi Dan Penyiaran Islam,Institut Agama Islam Hamzanwadi Pancor,S1
1538,Hukum Ekonomi Syari`ah (Mu`amalah),Institut Agama Islam Hamzanwadi Pancor,S1
1539,Pendidikan Agama Islam,Institut Agama Islam Hamzanwadi Pancor,S1
1540,Hukum Ekonomi Syari`ah (Mu`amalah),Institut Agama Islam Ibrahimy (IAII) Sukorejo Situbondo,S1
1542,Pendidikan Bahasa Arab,Institut Agama Islam Ibrahimy (IAII) Sukorejo Situbondo,S1
1543,Bimbingan Dan Penyuluhan Islam,Institut Agama Islam Ibrahimy (IAII) Sukorejo Situbondo,S1
1544,Hukum Keluarga Islam (Ahwal Syakhshiyah),Institut Agama Islam Ibrahimy (IAII) Sukorejo Situbondo,S1
1545,Pendidikan Agama Islam,Institut Agama Islam Ibrahimy (IAII) Sukorejo Situbondo,S1
1546,Komunikasi Dan Penyiaran Islam,Institut Agama Islam Ibrahimy (IAII) Sukorejo Situbondo,S1
1547,Ekonomi Syari'ah,Institut Agama Islam Ibrahimy (IAII) Sukorejo Situbondo,S1
1548,Pendidikan Islam Anak Usia Dini,Institut Agama Islam Ibrahimy Genteng,S1
1549,Hukum Keluarga Islam (Ahwal Syakhshiyah),Institut Agama Islam Ibrahimy Genteng Banyuwangi,S1
1550,Perbankan Syariah,Institut Agama Islam Ibrahimy Genteng Banyuwangi,S1
1551,Pendidikan Agama Islam,Institut Agama Islam Ibrahimy Genteng Banyuwangi,S1
1552,Pengembangan Masyarakat Islam,Institut Agama Islam Ibrahimy Genteng Banyuwangi,S1
1553,Ekonomi Syariah,Institut Agama Islam Ibrahimy Genteng Banyuwangi,S1
1554,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Ibrahimy Genteng Banyuwangi,S1
1555,Pendidikan Islam Anak Usia Dini,Institut Agama Islam Ibrahimy Sukorejo Situbondo,S1
1556,Pendidikan Islam Anak Usia Dini,Institut Agama Islam Imam Ghozali (IAIIG) Cilacap,S1
1557,Pendidikan Agama Islam,Institut Agama Islam Imam Ghozali (IAIIG) Cilacap,S1
1558,Ahwal Al-Syakhshiyah,Institut Agama Islam Imam Ghozali Cilacap,S1
1559,Komunikasi Dan Penyiaran Islam,Institut Agama Islam Imam Ghozali Cilacap,S1
1560,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Imam Ghozali Cilacap,S1
1561,Pendidikan Agama Islam,Institut Agama Islam Jami`at Kheir Jakarta,S1
1562,Pendidikan Islam Anak Usia Dini,Institut Agama Islam Latifah Mubarokiyah (IAILM) Suryalaya Tasikmalaya,S1
1563,Komunikasi Dan Penyiaran Islam,Institut Agama Islam Latifah Mubarokiyah (IAILM) Suryalaya Tasikmalaya,S1
1564,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Latifah Mubarokiyah (IAILM) Suryalaya Tasikmalaya,S1
1565,Hukum Ekonomi Syariah (Muamalah),Institut Agama Islam Latifah Mubarokiyah (IAILM) Suryalaya Tasikmalaya,S1
1566,Pendidikan Agama Islam,Institut Agama Islam Latifah Mubarokiyah (IAILM) Suryalaya Tasikmalaya,S1
1567,Ekonomi Syariah,Institut Agama Islam Latifah Mubarokiyah (IAILM) Suryalaya Tasikmalaya,S1
1569,Ilmu Tasawuf,Institut Agama Islam Latifah Mubarokiyah Suryalaya Tasikmalaya,S1
1570,Pendidikan Agama Islam,Institut Agama Islam Ma'arif Metro Lampung,S1
1571,Pendidikan Matematika,Institut Agama Islam Ma'arif NU (IAIMNU) Metro Lampung,S1
1572,Hukum Ekonomi Syariah (Muamalah),Institut Agama Islam Ma'arif NU (IAIMNU) Metro Lampung,S1
1573,Bimbingan Dan Konseling Pendidikan Islam,Institut Agama Islam Ma'arif NU (IAIMNU) Metro Lampung,S1
1574,Pendidikan Islam Anak Usia Dini,Institut Agama Islam Ma'arif NU (IAIMNU) Metro Lampung,S1
1575,Ilmu Al Qur`an Dan Tafsir,Institut Agama Islam Ma'arif NU (IAIMNU) Metro Lampung,S1
1577,Hukum Keluarga Islam (Ahwal Syakhshiyyah),Institut Agama Islam Ma'arif NU Metro,S1
1578,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Ma'arif NU Metro,S1
1579,Tadris Bahasa Inggris,Institut Agama Islam Ma'arif NU Metro Lampung,S1
1580,Perbankan Syariah,Institut Agama Islam Ma'arif NU Metro Lampung,S1
1581,Pendidikan Bahasa Arab,Institut Agama Islam Ma'arif NU Metro Lampung,S1
1582,Hukum Tatanegara (Siyasah Syar'iyyah),Institut Agama Islam Muhammad Azim Jambi,S1
1583,Manajemen Pendidikan Islam,Institut Agama Islam Muhammad Azim Jambi,S1
1584,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Muhammadiyah Bima,S1
1585,Pendidikan Islam Anak Usia Dini,Institut Agama Islam Muhammadiyah Bima,S1
1586,Pendidikan Agama Islam,Institut Agama Islam Muhammadiyah Bima,S1
1587,Pendidikan Bahasa Arab,Institut Agama Islam Muhammadiyah Bima,S1
1588,Ekonomi Syariah,Institut Agama Islam Muhammadiyah Bima,S1
1589,Hukum Keluarga (Ahwal Al Syakhshiyah),Institut Agama Islam Muhammadiyah Bima,S1
1590,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Muhammadiyah Sinjai,S1
1591,Ilmu Al Qur`an Dan Tafsir,Institut Agama Islam Muhammadiyah Sinjai,S1
1592,Pendidikan Bahasa Arab,Institut Agama Islam Muhammadiyah Sinjai,S1
1593,Ekonomi Syariah,Institut Agama Islam Muhammadiyah Sinjai,S1
1594,Bimbingan Dan Penyuluhan Islam,Institut Agama Islam Muhammadiyah Sinjai,S1
1595,Komunikasi Dan Penyiaran Islam,Institut Agama Islam Nahdlatul Ulama (IAI NU) Kebumen,S1
1596,Ekonomi Syari`ah,Institut Agama Islam Nahdlatul Ulama (IAI NU) Kebumen,S1
1597,Manajemen Pendidikan Islam,Institut Agama Islam Nahdlatul Ulama (IAI NU) Kebumen,S1
1598,Hukum Keluarga (Ahwal Syakhshiyah),Institut Agama Islam Nahdlatul Ulama (IAI NU) Kebumen,S1
1599,Ilmu Al-Qur'an Dan Tafsir,Institut Agama Islam Nahdlatul Ulama (IAI NU) Kebumen,S1
1600,Perbankan Syariah,Institut Agama Islam Nahdlatul Ulama (IAI NU) Kebumen,S1
1601,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Nahdlatul Ulama Kebumen,S1
1603,Pendidikan Agama Islam,Institut Agama Islam Nahdlatul Ulama Kebumen,S1
1604,Pendidikan Islam Anak Usia Dini,Institut Agama Islam Nahdlatul Ulama Tuban,S1
1605,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Nahdlatul Ulama Tuban,S1
1606,Pendidikan Agama Islam,Institut Agama Islam Nahdlatul Ulama Tuban,S1
1607,Manajemen Dakwah,Institut Agama Islam Nahdlatul Ulama Tuban,S1
1608,Perbankan Syariah,Institut Agama Islam Nahdlatul Ulama Tuban,S1
1609,Pendidikan Agama Islam,Institut Agama Islam Nasional Laa Roiba Bogor Jawa Barat,S1
1610,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Nasional Laa Roiba Bogor Jawa Barat,S1
1612,Ekonomi Syariah,Institut Agama Islam Nasional Laa Roiba Bogor Jawa Barat,S1
1613,Manajemen Pendidikan Islam,Institut Agama Islam Nasional Laa Roiba Bogor Jawa Barat,S1
1614,Sosiologi Agama,Institut Agama Islam Negeri Ambon,S1
1615,Ilmu Aqidah,Institut Agama Islam Negeri Ambon,S1
1616,Ekonomi Syari`ah,Institut Agama Islam Negeri Ambon,S1
1618,Aqidah Dan Filsafat Islam,Institut Agama Islam Negeri Ambon,S1
1619,Hukum Keluarga,Institut Agama Islam Negeri Ambon,S1
1620,Bimbingan Dan Konseling,Institut Agama Islam Negeri Batusangkar,S1
1621,Ilmu Al Qur`an Dan Tafsir,Institut Agama Islam Negeri Batusangkar,S1
1622,Hukum Tata Negara (Siyasah),Institut Agama Islam Negeri Batusangkar,S1
1623,Tadris Fisika,Institut Agama Islam Negeri Batusangkar,S1
1625,Pendidikan Bahasa Arab,Institut Agama Islam Negeri Batusangkar,S1
1626,Ahwal Syakshiyyah,Institut Agama Islam Negeri Batusangkar,S1
1627,Pendidikan Agama Islam,Institut Agama Islam Negeri Batusangkar,S1
1628,Tadris Bahasa Inggris,Institut Agama Islam Negeri Batusangkar,S1
1629,Komunikasi Dan Penyiaran Islam,Institut Agama Islam Negeri Batusangkar,S1
1631,Hukum Tata Negara (Siyasah),Institut Agama Islam Negeri Batusangkar,S1
1632,Manajemen Pendidikan Islam,Institut Agama Islam Negeri Batusangkar,S1
1633,Perbankan Syariah,Institut Agama Islam Negeri Batusangkar,S1
1634,Ekonomi Syariah,Institut Agama Islam Negeri Batusangkar,S1
1635,Tadris Biologi,Institut Agama Islam Negeri Batusangkar,S1
1636,Tadris Kimia,Institut Agama Islam Negeri Batusangkar,S1
1638,Psikologi Islam,Institut Agama Islam Negeri Batusangkar,S1
1639,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Negeri Batusangkar,S1
1640,Manajemen Informatika,Institut Agama Islam Negeri Batusangkar,D-III
1644,Pendidikan Islam Anak Usia Dini,Institut Agama Islam Negeri Batusangkar,S1
1645,Ilmu Perpustakaan Dan Informasi Islam,Institut Agama Islam Negeri Batusangkar,S1
1646,Manajemen Zakat Dan Wakaf,Institut Agama Islam Negeri Batusangkar,S1
1647,Komunikasi Dan Penyiaran Islam,Institut Agama Islam Negeri Batusangkar,S1
1648,Pariwisata Syariah,Institut Agama Islam Negeri Batusangkar,S1
1649,Tadris Matematika,Institut Agama Islam Negeri Batusangkar,S1
1650,Pengembangan Masyarakat Islam,Institut Agama Islam Negeri Batusangkar,S1
1651,Manajemen Bisnis Syariah,Institut Agama Islam Negeri Batusangkar,S1
1652,Akuntansi Syari'ah,Institut Agama Islam Negeri Batusangkar,S1
1653,Hukum Ekonomi Syariah (Muamalah),Institut Agama Islam Negeri Batusangkar,S1
1654,Pemikiran Politik Islam,Institut Agama Islam Negeri Batusangkar,S1
1656,Perbankan Syariah,Institut Agama Islam Negeri Bengkulu,S1
1657,Hukum Tatanegara (Siyasah),Institut Agama Islam Negeri Bengkulu,S1
1658,Tadris Bahasa Inggris,Institut Agama Islam Negeri Bengkulu,S1
1659,Pendidikan Bahasa Arab,Institut Agama Islam Negeri Bengkulu,S1
1660,Ilmu Al-Qur`an Dan Tafsir,Institut Agama Islam Negeri Bengkulu,S1
1661,Bimbingan Dan Konseling Islam,Institut Agama Islam Negeri Bengkulu,S1
1662,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Negeri Bengkulu,S1
1663,Ahwal Al-Syakhshiyah,Institut Agama Islam Negeri Bengkulu,S1
1665,Ekonomi Syari`ah,Institut Agama Islam Negeri Bengkulu,S1
1668,Pendidikan Agama Islam,Institut Agama Islam Negeri Bone,S1
1669,Tadris Bahasa Inggris,Institut Agama Islam Negeri Bone,S1
1670,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Negeri Bone,S1
1671,Pendidikan Islam Anak Usia Dini,Institut Agama Islam Negeri Bone,S1
1672,Hukum Tata Negara (Siyasah),Institut Agama Islam Negeri Bone,S1
1673,Ekonomi Syariah,Institut Agama Islam Negeri Bone,S1
1674,Pendidikan Bahasa Arab,Institut Agama Islam Negeri Bone,S1
1675,Perbankan Syariah,Institut Agama Islam Negeri Bone,S1
1677,Komunikasi Dan Penyiaran Islam,Institut Agama Islam Negeri Bone,S1
1678,Ilmu Al-Qur'an Dan Tafsir,Institut Agama Islam Negeri Bone,S1
1679,Manajemen Pendidikan Islam,Institut Agama Islam Negeri Bone,S1
1683,Hukum Keluarga Islam (Ahwal Syakhshiyyah),Institut Agama Islam Negeri Bone,S1
1684,Komunikasi Dan Penyiaran Islam,Institut Agama Islam Negeri Curup,S1
1685,Manajemen Pendidikan Islam,Institut Agama Islam Negeri Curup,S1
1686,Ilmu Al-Quran Dan Tafsir,Institut Agama Islam Negeri Curup,S1
1688,Tadris Bahasa Inggris,Institut Agama Islam Negeri Curup,S1
1690,Bimbingan Dan Konseling Pendidikan Islam,Institut Agama Islam Negeri Curup,S1
1691,Pendidikan Agama Islam,Institut Agama Islam Negeri Curup,S1
1692,Pendidikan Bahasa Arab,Institut Agama Islam Negeri Curup,S1
1693,Hukum Keluarga Islam (Ahwal Syakhshiyyah),Institut Agama Islam Negeri Curup,S1
1694,Tadris Bahasa Indonesia,Institut Agama Islam Negeri Curup,S1
1695,Pendidikan Islam Anak Usia Dini,Institut Agama Islam Negeri Curup,S1
1697,Hukum Tatanegara (Siyasah Syar'iyyah),Institut Agama Islam Negeri Curup,S1
1698,Tadris Matematika,Institut Agama Islam Negeri Curup,S1
1699,Perbankan Syariah,Institut Agama Islam Negeri Curup,S1
1700,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Negeri Curup,S1
1701,Ilmu Perpustakaan Dan Informasi Islam,Institut Agama Islam Negeri Curup,S1
1702,Ekonomi Syariah,Institut Agama Islam Negeri Curup,S1
1703,Bimbingan Penyuluhan Islam,Institut Agama Islam Negeri Curup,S1
1704,Tadris Bahasa Inggris,Institut Agama Islam Negeri Fattahul Muluk Papua,S1
1705,Pendidikan Guru Madrasah Ibtidaiyah (PGMI),Institut Agama Islam Negeri Fattahul Muluk Papua,S1
1707,Hukum Ekonomi Syariah (Muamalah),Institut Agama Islam Negeri Fattahul Muluk Papua,S1
1708,Pendidikan Islam Anak Usia Dini,Institut Agama Islam Negeri Fattahul Muluk Papua,S1
1709,Perbankan Syariah,Institut Agama Islam Negeri Fattahul Muluk Papua,S1
1710,Ekonomi Syariah,Institut Agama Islam Negeri Fattahul Muluk Papua,S1
1711,Tadris Matematika,Institut Agama Islam Negeri Fattahul Muluk Papua,S1
1712,Hukum Tatanegara (Siyasah Syar'iyyah),Institut Agama Islam Negeri Fattahul Muluk Papua,S1
1713,Manajemen Pendidikan Islam,Institut Agama Islam Negeri Fattahul Muluk Papua,S1
1714,Hukum Keluarga Islam (Akhwal Syaksiyah),Institut Agama Islam Negeri Fattahul Muluk Papua,S1
1715,Ilmu Hadist,Institut Agama Islam Negeri Jember,S1
1716,Manajemen Dakwah,Institut Agama Islam Negeri Jember,S1
1717,Bimbingan Dan Konseling Islam,Institut Agama Islam Negeri Jember,S1
1719,Sejarah Peradaban Islam,Institut Agama Islam Negeri Jember,S1
1720,Ekonomi Syariah,Institut Agama Islam Negeri Kediri,S1
1722,Psikologi Islam,Institut Agama Islam Negeri Kediri,S1
1723,Perbankan Syariah,Institut Agama Islam Negeri Kediri,S1
1724,Ilmu Hadis,Institut Agama Islam Negeri Kediri,S1
1725,Pendidikan Agama Islam,Institut Agama Islam Negeri Kediri,S1
1726,Pendidikan Guru Madrasah Ibtidaiyah,Institut Agama Islam Negeri Kediri,S1
1727,Manajemen Pendidikan Islam,Institut Agama Islam Negeri Kediri,S1
1730,Tadris Matematika,Institut Agama Islam Negeri Kediri,S1
1731,Tadris Bahasa Inggris,Institut Agama Islam Negeri Kediri,S1
1733,Tasawuf Dan Psikoterapi,Institut Agama Islam Negeri Kediri,S1
1735,Studi Agama Agama,Institut Agama Islam Negeri Kediri,S1
1736,Hukum Keluarga Islam (Ahwal Syakhshiyyah),Institut Agama Islam Negeri Kediri,S1
1737,Ilmu Al Qur'an Dan Tafsir,Institut Agama Islam Negeri Kediri,S1
1738,Komunikasi Dan Penyiaran Islam,Institut Agama Islam Negeri Kediri,S1
1739,Pendidikan Bahasa Arab,Institut Agama Islam Negeri Kediri,S1
1740,Hukum Ekonomi Syariah (Muamalah),Institut Agama Islam Negeri Kendari,S1
1741,Pendidikan Bahasa Arab,Institut Agama Islam Negeri Kendari,S1
1742,Ekonomi Syari`ah,Institut Agama Islam Negeri Kendari,S1
1743,Tadris Biologi,Institut Agama Islam Negeri Kendari,S1
1744,Tadris Matematika,Institut Agama Islam Negeri Kendari,S1
1747,Tadris Fisika,Institut Agama Islam Negeri Kendari,S1
1748,Tadris Bahasa Inggris,Institut Agama Islam Negeri Kendari,S1
1749,Tadris Ilmu Pengetahuan Alam,Institut Agama Islam Negeri Kendari,S1
1750,Hukum Keluarga (Akhwal Syaksiyah),Institut Agama Islam Negeri Kendari,S1
1751,Bimbingan Dan Konseling Pendidikan Islam,Institut Agama Islam Negeri Kerinci,S1
1752,Manajemen Dakwah,Institut Agama Islam Negeri Kerinci,S1
1753,Manajemen Pendidikan Islam,Institut Agama Islam Negeri Kerinci,S1
